num;species;dph;height;notes
1;Érable rouge;13,3;12,2;
2;Érable rouge;20,3;15,2;
3;Épinette noire;21,6;18,9;
4;Bouleau blanc;14,4;11,8;
5;Mort;;;
6;Épinette noire;21,3;13,6;
7;Érable rouge;35,5;16,9;
8;Érable rouge;12,5;11,8;
9;Bouleau blanc;19,9;15,1;
10;Mort;;;
11;Bouleau blanc;17,6;13,6;
12;Érable rouge;45,2;23;
13;Bouleau blanc;27;14,5;
14;Bouleau blanc;26,8;14,5;
15;Bouleau blanc;20;16,6;
16;Bouleau blanc;24,8;14,8;
17;Bouleau blanc;30;17,1;
18;Bouleau blanc;20,5;15,6;
19;Érable rouge;23,2;12,8;
20;Mort;;;
21;Mort;;;
22;Bouleau blanc;20;18,5;
23;Bouleau blanc;20;17,5;
24;Érable rouge;22,2;15,3;
25;Érable rouge;26,6;17,3;
26;Bouleau blanc;17;5,8;
27;Érable rouge;35,6;20,5;
28;Mort;;;
29;Bouleau blanc;26,4;30,1;
30;Mort;;;
