num;species;dph;height;notes
1;Épinette noire;29,6;17,3;
2;Épinette noire;17,8;17,4;
3;Épinette noire;17,7;15,9;
4;Épinette noire;23;20,1;
5;Épinette noire;24,1;17,8;
6;Épinette noire;27,8;16,7;
7;Mort;;;
8A;Épinette noire;22,8;14,8;
8B;Bouleau blanc;11,7;11,3;
9;Épinette noire;11,3;15;
10;Érable rouge;30,1;18,2;
11;Érable rouge;14;16,6;
12;Érable rouge;24,7;11,5;
13;Épinette noire;20;14;
14;Épinette noire;26,8;21,7;
15;Bouleau blanc;16,4;13,8;
16;Épinette noire;29;20,4;
17;Épinette noire;10;9,2;
18;Mort;;;
19;Bouleau blanc;13;14;
20;Épinette noire;10,9;14;
21A;Bouleau blanc;11,2;14;Feuilles déssechées
21B;Bouleau blanc;9,8;3,4;
22;Épinette noire;20,9;16;
23;Épinette noire;26,5;20,1;
24;Érable rouge;19;13,2;
25A;Épinette noire;23,2;18,7;
25B;Bouleau blanc;9,1;8,3;
26;Épinette noire;36;21,7;
27;Épinette noire;28,5;16,6;
28A;Épinette noire;33;18,7;
28B;Bouleau blanc;11,6;12,7;
29;Épinette noire;24,3;19,9;
30;Épinette noire;22;19,9;
31;Épinette noire;31,6;20;
32;Épinette noire;23,5;21,3;
33;Épinette noire;25;18,5;
34;Épinette noire;23,8;20;
35;Épinette noire;13,8;15,2;
