Species,Model,σSUR,σii,AdjRSq,RMSE,c
épinette_noire,wood,1.0001,0.0006,0.98,6.8,3.94
épinette_noire,bark,,0.0001,0.93,1.8,3.71
épinette_noire,stem,,0.0009,0.98,7.4,3.85
épinette_noire,branches,,0.0009,0.70,6.3,3.57
épinette_noire,foliage,,0.0097,0.60,4.5,2.70
épinette_noire,crown,,0.0079,0.71,9.7,3.21
épinette_noire,total,,0.0093,0.97,12.5,3.38
bouleau_blanc,wood,1.0001,0.0004,0.97,20.7,4.49
bouleau_blanc,bark,,0.0001,0.91,5.6,4.09
bouleau_blanc,stem,,0.0009,0.97,23.9,4.27
bouleau_blanc,branches,,0.0001,0.80,17.2,4.70
bouleau_blanc,foliage,,0.0135,0.60,3.7,2.27
bouleau_blanc,crown,,0.0023,0.80,19.3,3.80
bouleau_blanc,total,,0.0025,0.97,32.3,4.06
érable_rouge,wood,1.0021,0.0060,0.96,43.9,3.80
érable_rouge,bark,,0.0001,0.90,7.1,4.26
érable_rouge,stem,,0.0076,0.96,48.5,3.82
érable_rouge,branches,,0.0046,0.81,26.5,3.53
érable_rouge,foliage,,0.0263,0.73,2.6,1.75
érable_rouge,crown,,0.0081,0.81,28.4,3.42
érable_rouge,total,,0.0020,0.97,51.4,4.40
